name,inchi,SMILES,ion_mode,pH_aq,precursor_ion,measmass,logIE_from_inchi_min,logIE_from_inchi_mean,logIE_from_inchi_max,logIE_from_cnl_min,logIE_from_cnl_mean,logIE_from_cnl_max
Acephate,"InChI=1S/C4H10NO3PS/c1-4(6)5-9(7,8-2)10-3/h1-3H3,(H,5,6,7)",C(=O)NP(=O)(OC)SC,POSITIVE,2.7,184.01927,"Any[100.16175, 100.16528, 112.0159, 112.99992, 118.46045, 124.73236, 128.97713, 131.01074, 136.01596, 142.00827, 142.99281, 159.59348, 182.23431, 184.01926, 184.20633]",2.33496787700894,2.668806656643873,2.969476397429302,2.6477026206756284,3.065440915275802,3.302023348221149
Monuron,"InChI=1S/C9H11ClN2O/c1-12(2)9(13)11-8-5-3-7(10)4-6-8/h3-6H,1-2H3,(H,11,13)",CN(C)C(=O)NC1=CC=C(C=C1)Cl,POSITIVE,2.7,199.06323,"Any[90.03455, 91.04191, 95.42432, 97.8511, 98.99989, 120.86762, 124.49702, 126.01053, 129.01042, 137.59354, 139.00587, 150.5047, 154.00566, 199.06339]",2.9903993121316184,3.2349647047974774,3.4967586939002095,3.011379791756356,3.5484191901440143,3.826209709124057
Metalaxyl,"InChI=1S/C15H21NO4/c1-10-7-6-8-11(2)14(10)16(13(17)9-19-4)12(3)15(18)20-5/h6-8,12H,9H2,1-5H3",CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)COC,POSITIVE,2.7,280.15381,"Any[91.05462, 93.07027, 95.04948, 103.05432, 105.04477, 105.07002, 106.06506, 107.07309, 107.08569, 115.05427, 117.05736, 117.07009, 118.06524, 119.07293, 119.08569, 120.08097, 121.08882, 128.06212, 130.06525, 130.07039, 131.0731, 132.08084, 133.08859, 134.06013, 134.09651, 144.08089, 145.08868, 146.09663, 147.10457, 148.11211, 150.0912, 153.94872, 154.38823, 158.09654, 160.11217, 162.12779, 163.4817, 164.10693, 165.1145, 181.45975, 182.79263, 192.1384, 213.04797, 213.05989, 220.13324, 230.91809, 248.12828, 
261.12671, 280.1543]",4.109807487883136,4.40075166076207,4.186713038190724,3.2179061071052684,4.446683555882419,4.589944395698832
Dicyclohexyl phthalate,"InChI=1S/C20H26O4/c21-19(23-15-9-3-1-4-10-15)17-13-7-8-14-18(17)20(22)24-16-11-5-2-6-12-16/h7-8,13-16H,1-6,9-12H2",C1CCC(CC1)OC(=O)C2=CC=CC=C2C(=O)OC3CCCCC3,POSITIVE,2.7,331.18988,"Any[93.03387, 98.03675, 103.08524, 111.04411, 121.0285, 121.03955, 127.15077, 141.19972, 147.08231, 148.90508, 148.9259, 149.02342, 149.11827, 149.14485, 149.96043, 161.30576, 167.03397, 169.09813, 180.84897, 190.04997, 192.91637, 212.36522, 222.64679, 228.34831, 228.44031, 249.11328, 255.21417, 308.62283, 317.32822, 325.9668]",2.7872850925172137,3.2253515592716235,3.2748720908848292,2.9472103165088046,2.914011995631758,3.072491503078863
Lufenuron,"InChI=1S/C17H8Cl2F8N2O3/c18-6-5-11(32-17(26,27)14(22)16(23,24)25)7(19)4-10(6)28-15(31)29-13(30)12-8(20)2-1-3-9(12)21/h1-5,14H,(H2,28,29,30,31)",C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C=C2Cl)OC(C(C(F)(F)F)F)(F)F)Cl)F,POSITIVE,2.7,510.98642,"Any[111.02404, 113.01954, 131.03036, 141.01476, 141.02544, 147.69046, 156.13341, 158.04126, 208.0282, 209.75897, 218.07451, 218.0918, 218.1031, 327.97128, 345.93042]",2.4868560270796123,2.6913201304554217,2.4917606463924056,3.061919067362225,2.9118326456740675,3.0499229697836054
Tributylamine,"InChI=1S/C12H27N/c1-4-7-10-13(11-8-5-2)12-9-6-3/h4-12H2,1-3H3",CCCCN(CCCC)CCCC,POSITIVE,2.7,186.2215,"Any[100.11308, 101.59066, 111.2593, 112.9998, 114.12868, 115.00355, 128.14334, 129.15222, 129.40082, 130.07872, 130.15898, 130.2365, 130.241, 130.92326, 142.16011, 144.98854, 144.99757, 184.9248, 185.57335, 185.91095, 186.05237, 186.08556, 186.22134, 186.3531, 186.36363, 186.38519, 186.40131, 186.47971, 186.87296, 187.53154]",3.8682905600413084,4.088531400346702,4.408314814015137,2.85870716059297,3.0793891104788518,3.31907541611539
"2,4,6-Tri-2-pyridyl-1,3,5-triazine",InChI=1S/C18H12N6/c1-4-10-19-13(7-1)16-22-17(14-8-2-5-11-20-14)24-18(23-16)15-9-3-6-12-21-15/h1-12H,C1=CC=NC(=C1)C2=NC(=NC(=N2)C3=CC=CC=N3)C4=CC=CC=N4,POSITIVE,2.7,313.11893,"Any[96.04472, 96.14086, 104.76981, 104.98833, 105.04488, 105.59858, 113.08116, 157.72966, 172.57759, 189.36505, 201.59711, 251.02681, 310.29797, 313.11948]",3.5727493815761306,3.8259051829583735,4.051828777619131,2.922123894480998,3.103493404579968,3.2018881218775572
Debrisoquin sulfate,"InChI=1S/2C10H13N3.H2O4S/c2*11-10(12)13-6-5-8-3-1-2-4-9(8)7-13;1-5(2,3)4/h2*1-4H,5-7H2,(H3,11,12);(H2,1,2,3,4)",C1CN(CC2=CC=CC=C21)C(=N)N.C1CN(CC2=CC=CC=C21)C(=N)N.OS(=O)(=O)O,POSITIVE,2.7,176.11824,"Any[91.05466, 95.04967, 100.25385, 102.04671, 102.44187, 103.0545, 105.04471, 105.07008, 107.08573, 108.16183, 115.05433, 116.04962, 116.06184, 117.0574, 117.06995, 118.06525, 119.07306, 132.08089, 134.06024, 134.09653, 136.49648, 140.04958, 142.06529, 144.06834, 159.09178, 160.07584, 176.11839, 177.32297]",3.654771042314714,3.993323692068773,3.8834283003513392,2.7980899044515795,2.684810583268008,3.2569994803659803
Tributylamine,"InChI=1S/C12H27N/c1-4-7-10-13(11-8-5-2)12-9-6-3/h4-12H2,1-3H3",CCCCN(CCCC)CCCC,POSITIVE,2.7,186.2215,"Any[100.11308, 101.59066, 111.2593, 112.9998, 114.12868, 115.00355, 128.14334, 129.15222, 129.40082, 130.07872, 130.15898, 130.2365, 130.241, 130.92326, 142.16011, 144.98854, 144.99757, 184.9248, 185.57335, 185.91095, 186.05237, 186.08556, 186.22134, 186.3531, 186.36363, 186.38519, 186.40131, 186.47971, 186.87296, 187.53154]",3.8682905600413084,4.088531400346702,4.408314814015137,2.85870716059297,3.0793891104788518,3.31907541611539
"2,4,6-Tri-2-pyridyl-1,3,5-triazine",InChI=1S/C18H12N6/c1-4-10-19-13(7-1)16-22-17(14-8-2-5-11-20-14)24-18(23-16)15-9-3-6-12-21-15/h1-12H,C1=CC=NC(=C1)C2=NC(=NC(=N2)C3=CC=CC=N3)C4=CC=CC=N4,POSITIVE,2.7,313.11893,"Any[96.04472, 96.14086, 104.76981, 104.98833, 105.04488, 105.59858, 113.08116, 157.72966, 172.57759, 189.36505, 201.59711, 251.02681, 310.29797, 313.11948]",3.5727493815761306,3.8259051829583735,4.051828777619131,2.922123894480998,3.103493404579968,3.2018881218775572
